chrom	start	end	strand	gene
chr1	11873	14409	+	DDX11L1
chr1	14361	29961	-	WASH7P
chr1	34610	77690	-	FAM138F
chr1	69090	70008	+	OR4F5
chr1	134772	140566	-	LOC729737
chr1	321083	228155325	+	DQ597235
chr1	321145	228155417	+	DQ599768
chr1	322036	180753553	+	LOC100133331
chr1	327545	180755054	+	LOC388312
chr1	323891	180755196	+	LOC100132062
chr1	367658	622034	+	OR4F29
chr1	420205	180848396	+	BC036251
chr1	5543	566115	-	JA429830
chr1	5585	32954322	-	JA429831
chr1	5690	566263	-	JB137814
chr1	568843	568913	+	M37726
chr1	668417	671885	-	DQ575786
chr1	668509	224139941	-	DQ599872
chr1	674239	679736	-	AK310751
chr1	700244	714068	-	LOC100288069
chr1	761585	762902	-	LINC00115
chr1	762970	794826	+	LOC643837
chr1	803450	812182	-	FAM41C
chr1	846814	850328	+	AK056486
chr1	852952	854817	-	LOC100130417
chr1	860529	879961	+	SAMD11
chr1	879582	894679	-	NOC2L
chr1	895966	901099	+	KLHL17
chr1	901876	910484	+	PLEKHN1
chr1	910578	917473	-	C1orf170
chr1	934341	935552	-	HES4
chr1	948846	949919	+	ISG15
chr1	955502	991499	+	AGRN
chr1	995082	997436	+	AK310350
chr1	995116	1001833	+	BC033949
chr1	1007125	1009687	-	RNF223
chr1	1017197	1051736	-	C1orf159
chr1	1072396	1079434	+	LOC254099
chr1	1102483	1102578	+	MIR200B
chr1	1103295	1103317	-	JA715134
chr1	1103242	1103332	+	MIR200A
chr1	1104434	1104456	-	JA715143
chr1	1104384	1104467	+	MIR429
chr1	1108435	1114935	-	AK128833
chr1	1109285	1133313	+	TTLL10
chr1	1138887	1142089	-	TNFRSF18
chr1	1146705	1149548	-	TNFRSF4
chr1	1152287	1167447	-	SDF4
chr1	1167628	1170420	+	B3GALT6
chr1	1177825	1182102	-	FAM132A
chr1	1189291	1209234	-	UBE2J2
chr1	1215815	1227409	+	SCNN1D
chr1	1227763	1244989	-	ACAP3
chr1	1243993	1247057	+	PUSL1
chr1	1246964	1260067	-	CPSF3L
chr1	1260142	1264276	+	GLTPD1
chr1	1266725	1269844	+	TAS1R3
chr1	1270657	1284492	-	DVL1
chr1	1288070	1297157	-	MXRA8
chr1	1309109	1310818	-	AURKAIP1
chr1	1321090	1334718	-	CCNL2
chr1	1334909	1337426	+	LOC148413
chr1	1337275	1342693	-	MRPL20
chr1	1353799	1356824	-	ANKRD65
chr1	1361507	1363167	+	TMEM88B
chr1	1370902	1378262	+	VWA1
chr1	1385068	1405538	+	ATAD3C
chr1	1407163	1444689	+	ATAD3B
chr1	1467448	1470064	+	AX747755
chr1	1447522	1470067	+	ATAD3A
chr1	1470157	1475740	-	TMEM240
chr1	1477052	1510262	-	SSU72
chr1	1510354	1510644	+	HP08716
chr1	1533387	1535476	-	C1orf233
chr1	1535818	1543166	+	AK094692
chr1	1550794	1565990	+	MIB2
chr1	1567559	1570030	+	MMP23B
chr1	1571099	1655775	-	CDK11B
chr1	1586822	1590469	-	CDC2L1
chr1	1590987	1677438	-	SLC35E2B
chr1	1631377	1633247	+	MMP23A
chr1	1634169	1655791	-	CDK11A
chr1	1656053	1663343	+	AK097814
chr1	1656276	1677438	-	SLC35E2
chr1	1682670	1711508	-	NADK
chr1	1716724	1822526	-	GNB1
chr1	1846265	1848733	+	CALML6
chr1	1849028	1850740	-	TMEM52
